name,name_NYUcoor,brain_data,coordinates,T1_X,T1_Y,T1_Z,MNI_X,MNI_Y,MNI_Z,type,reg1,reg1_percent,reg2,reg2_percent,reg3,reg3_percent,reg4,reg4_percent
DRAMT1,DRAMT01,0,0,14,-3,-17,18,-11,-25,D,Right-Hippocampus,14.81,ctx-rh-unknown,66.67,ctx-rh-entorhinal,18.52,,0
DRAMT2,DRAMT02,0,0,19,-2.714286,-16.285714,23.2,-12.4,-23.2,D,Right-Cerebral-White-Matter,33.33,Right-Hippocampus,66.67,,0,,0
DRAMT3,DRAMT03,0,0,24,-2.428571,-15.571429,27.333333,-12.666667,-23,D,Right-Cerebral-White-Matter,37.04,Right-Hippocampus,62.96,,0,,0
DRAMT4,DRAMT04,0,0,29,-2.142857,-14.857143,32,-14.666667,-21.333333,D,Right-Cerebral-White-Matter,29.63,Right-Hippocampus,70.37,,0,,0
DRAMT5,DRAMT05,0,0,34,-1.857143,-14.142857,37,-14,-22,D,Right-Cerebral-White-Matter,77.78,ctx-rh-fusiform,18.52,ctx-rh-inferiortemporal,3.7,,0
DRAMT6,DRAMT06,0,0,39,-1.571429,-13.428571,43.333333,-14.888889,-20.888889,D,Right-Cerebral-White-Matter,96.3,ctx-rh-inferiortemporal,3.7,,0,,0
DRAMT7,DRAMT07,0,0,44,-1.285714,-12.714286,51.333333,-15,-19.333333,D,Right-Cerebral-White-Matter,74.07,ctx-rh-inferiortemporal,25.93,,0,,0
DRAMT8,DRAMT08,0,0,49,-1,-12,57.5,-15,-17.5,D,Unknown,11.11,Right-Cerebral-White-Matter,7.41,ctx-rh-inferiortemporal,18.52,ctx-rh-middletemporal,62.96
DRPI1,DRPI01,0,0,28,-12,11,35.5,-22.5,7,D,Right-Cerebral-White-Matter,81.48,ctx-rh-transversetemporal,7.41,ctx-rh-insula,11.11,,0
DRPI2,DRPI02,0,0,31.666667,-9,10,39,-19,7,D,Right-Cerebral-White-Matter,40.74,ctx-rh-transversetemporal,59.26,,0,,0
DRPI3,DRPI03,0,0,35.333333,-6,9,43.333333,-16.666667,6,D,Right-Cerebral-White-Matter,81.48,ctx-rh-transversetemporal,18.52,,0,,0
DRPI4,DRPI04,0,0,39,-3,8,46.8,-12.8,5.6,D,Right-Cerebral-White-Matter,66.67,ctx-rh-transversetemporal,33.33,,0,,0
DRPMT1,DRPMT01,0,0,11,-31,-2,12.666667,-42.666667,-1.333333,D,Right-Cerebral-White-Matter,59.26,ctx-rh-lingual,40.74,,0,,0
DRPMT2,DRPMT02,0,0,15,-28.142857,-2.428571,17,-42,-3,D,Right-Cerebral-White-Matter,66.67,ctx-rh-lingual,33.33,,0,,0
DRPMT3,DRPMT03,0,0,19,-25.285714,-2.857143,22.857143,-38.857143,-2.857143,D,Right-Cerebral-White-Matter,100,,0,,0,,0
DRPMT4,DRPMT04,0,0,23,-22.428571,-3.285714,27.333333,-37,-5.333333,D,Right-Cerebral-White-Matter,51.85,Right-Hippocampus,14.81,ctx-rh-parahippocampal,33.33,,0
DRPMT5,DRPMT05,0,0,27,-19.571429,-3.714286,32.666667,-32.666667,-6,D,Right-Cerebral-White-Matter,7.41,Right-Inf-Lat-Vent,22.22,Right-Hippocampus,59.26,Right-choroid-plexus,11.11
DRPMT6,DRPMT06,0,0,31,-16.714286,-4.142857,37.777778,-29.111111,-6.888889,D,Right-Cerebral-White-Matter,77.78,Right-Hippocampus,3.7,Right-choroid-plexus,18.52,,0
DRPMT7,DRPMT07,0,0,35,-13.857143,-4.571429,45.2,-25,-5.6,D,Right-Cerebral-White-Matter,100,,0,,0,,0
DRPMT8,DRPMT08,0,0,39,-11,-5,50,-20.8,-4.8,D,Unknown,3.7,ctx-rh-middletemporal,66.67,ctx-rh-superiortemporal,29.63,,0
LGA1,LGA001,0,0,-49.639721,50.113274,29.732788,-52,48,17,G,rostralmiddlefrontal,100,,0,,0,,0
LGA2,LGA002,0,0,-51.236485,41.961037,33.740902,-54,40,23,G,rostralmiddlefrontal,100,,0,,0,,0
LGA3,LGA003,0,0,-52.031803,32.012592,36.353046,-57,31,30,G,rostralmiddlefrontal,100,,0,,0,,0
LGA4,LGA004,0,0,-53.208832,24.012028,39.924484,-59,22.666667,34.666667,G,rostralmiddlefrontal,100,,0,,0,,0
LGA5,LGA005,0,0,-53.301922,14.258825,42.75161,-59.333333,13,39.333333,G,precentral,100,,0,,0,,0
LGA6,LGA006,0,0,-54.716408,5.168546,46.286152,-60,4,44,G,precentral,100,,0,,0,,0
LGA7,LGA007,0,0,-53.16209,-4.007544,48.620178,-62,-7,48,G,precentral,100,,0,,0,,0
LGA8,LGA008,0,0,-53.026482,-13.02279,51.825279,-62,-16,51,G,postcentral,100,,0,,0,,0
LGA9,LGA009,0,0,-53.021477,49.298756,21.08987,-57,46,8,G,parstriangularis,100,,0,,0,,0
LGA10,LGA010,0,0,-55.139149,40.74966,24.628983,-59,38,13,G,parstriangularis,100,,0,,0,,0
LGA11,LGA011,0,0,-56.185547,30.728741,27.247787,-62.4,28.8,18.8,G,parsopercularis,100,,0,,0,,0
LGA12,LGA012,0,0,-57.86364,22.199598,31.021269,-64,21,25,G,parsopercularis,100,,0,,0,,0
LGA13,LGA013,0,0,-59.222141,12.319903,34.027565,-65.142857,11.142857,29.142857,G,precentral,100,,0,,0,,0
LGA14,LGA014,0,0,-59.512272,2.963812,37.587162,-66,1,34,G,postcentral,100,,0,,0,,0
LGA15,LGA015,0,0,-58.201717,-6.516255,41.01231,-66,-9,39,G,postcentral,100,,0,,0,,0
LGA16,LGA016,0,0,-58.610466,-16.044039,44.116669,-66,-19,43,G,postcentral,100,,0,,0,,0
LGA17,LGA017,0,0,-55.963409,47.656265,11.462684,-58,43.333333,-3.333333,G,parstriangularis,100,,0,,0,,0
LGA18,LGA018,0,0,-58.10693,38.170338,14.786384,-63,35,2,G,parstriangularis,100,,0,,0,,0
LGA19,LGA019,0,0,-58.618195,28.181929,18.098679,-64.8,24.8,8.4,G,parsopercularis,100,,0,,0,,0
LGA20,LGA020,0,0,-60.292549,19.574446,21.756939,-65.5,15,12.5,G,parsopercularis,100,,0,,0,,0
LGA21,LGA021,0,0,-62.164665,9.29189,25.037277,-69,7,19,G,precentral,100,,0,,0,,0
LGA22,LGA022,0,0,-63.441532,0.09762,27.998056,-70.5,-3.5,22.5,G,postcentral,100,,0,,0,,0
LGA23,LGA023,0,0,-62.495899,-10.087507,31.221481,-70,-14,28,G,postcentral,100,,0,,0,,0
LGA24,LGA024,0,0,-62.147217,-19.358374,34.678379,-70,-23.333333,32.666667,G,supramarginal,100,,0,,0,,0
LGA25,LGA025,0,0,-55.103886,42.937023,2.198599,-58,37,-12,G,parsorbitalis,100,,0,,0,,0
LGA26,LGA026,0,0,-56.921906,34.18227,5.474728,-61,29,-8,G,parsorbitalis,100,,0,,0,,0
LGA27,LGA027,0,0,-57.128922,24.296867,9.088232,-63.333333,20,-0.666667,G,parsopercularis,100,,0,,0,,0
LGA28,LGA028,0,0,-61.439533,15.799999,12.12611,-66.857143,11.142857,3.142857,G,parsopercularis,100,,0,,0,,0
LGA29,LGA029,0,0,-63.048443,6.220469,14.899158,-71,2,6,G,precentral,100,,0,,0,,0
LGA30,LGA030,0,0,-64.485344,-2.931496,18.078459,-71.333333,-6.666667,13,G,postcentral,100,,0,,0,,0
LGA31,LGA031,0,0,-63.254971,-13.031343,21.775326,-72,-18,18,G,supramarginal,100,,0,,0,,0
LGA32,LGA032,0,0,-62.950367,-22.700527,24.992708,-71,-27,22,G,supramarginal,100,,0,,0,,0
LGA33,LGA033,0,0,-48.286034,36.080402,-4.634591,-52,30.666667,-19.333333,G,lateralorbitofrontal,84.16,parsorbitalis,15.84,,0,,0
LGA34,LGA034,0,0,-51.703106,28.758331,-2.803394,-56.8,23.6,-14.8,G,parsorbitalis,100,,0,,0,,0
LGA35,LGA035,0,0,-56.697483,21.189489,0.032962,-62,17,-11,G,rSTG,100,,0,,0,,0
LGA36,LGA036,0,0,-61.396606,12.624362,2.413146,-68,8,-8,G,mSTG,100,,0,,0,,0
LGA37,LGA037,0,0,-63.908512,3.170063,5.410743,-69.333333,-0.666667,-3,G,mSTG,100,,0,,0,,0
LGA38,LGA038,0,0,-65.141472,-6.456003,8.800333,-72,-11.333333,2.666667,G,mSTG,100,,0,,0,,0
LGA39,LGA039,0,0,-64.114815,-16.60747,11.993548,-72,-22,7,G,cSTG,100,,0,,0,,0
LGA40,LGA040,0,0,-63.838673,-26.128967,15.278815,-72,-32,12,G,cSTG,100,,0,,0,,0
LGA41,LGA041,0,0,-44.113209,30.379389,-11.268412,-47,26,-25,G,rSTG,100,,0,,0,,0
LGA42,LGA042,0,0,-51.857738,25.3556,-11.174675,-55,22,-24,G,rSTG,100,,0,,0,,0
LGA43,LGA043,0,0,-56.955517,17.466913,-9.108391,-62,14,-21,G,rSTG,100,,0,,0,,0
LGA44,LGA044,0,0,-61.680065,9.19655,-6.860172,-66.666667,4,-17.333333,G,rMTG,100,,0,,0,,0
LGA45,LGA045,0,0,-65.324181,0.252497,-4.480349,-70.857143,-5.142857,-13.142857,G,mMTG,100,,0,,0,,0
LGA46,LGA046,0,0,-66.616631,-9.905672,-1.684166,-74,-15,-8,G,mMTG,100,,0,,0,,0
LGA47,LGA047,0,0,-65.242737,-19.76358,2.425297,-74,-25,-3,G,mMTG,100,,0,,0,,0
LGA48,LGA048,0,0,-64.492691,-28.832201,6.08085,-73,-35,2,G,cMTG,100,,0,,0,,0
LGA49,LGA049,0,0,-44.097553,27.519773,-19.298735,-47.2,23.2,-35.6,G,rSTG,100,,0,,0,,0
LGA50,LGA050,0,0,-52.112671,21.958879,-19.19058,-57,17,-33,G,rMTG,100,,0,,0,,0
LGA51,LGA051,0,0,-57.404179,14.32315,-18.401146,-61.333333,9,-31.333333,G,rMTG,100,,0,,0,,0
LGA52,LGA052,0,0,-60.895813,5.41809,-16.222017,-65.5,-1,-27.5,G,inferiortemporal,100,,0,,0,,0
LGA53,LGA053,0,0,-64.763023,-3.131757,-14.088531,-69.333333,-10,-23.333333,G,inferiortemporal,100,,0,,0,,0
LGA54,LGA054,0,0,-66.535645,-13.015685,-11.146196,-73.333333,-20,-19.333333,G,inferiortemporal,100,,0,,0,,0
LGA55,LGA055,0,0,-66.264725,-22.71517,-6.893622,-74,-29,-12,G,mMTG,100,,0,,0,,0
LGA56,LGA056,0,0,-64.46508,-31.838293,-3.011748,-73.5,-38.5,-9,G,cMTG,100,,0,,0,,0
LGA57,LGA057,0,0,-42.090664,23.500231,-25.638149,-45,17.333333,-43.333333,G,temporalpole,100,,0,,0,,0
LGA58,LGA058,0,0,-50.522408,18.325823,-27.027489,-54,11.333333,-42.666667,G,rMTG,100,,0,,0,,0
LGA59,LGA059,0,0,-55.208183,10.280744,-25.702093,-60,3,-38,G,rMTG,100,,0,,0,,0
LGA60,LGA060,0,0,-58.813095,2.158339,-24.104023,-62.285714,-5.142857,-34.857143,G,inferiortemporal,100,,0,,0,,0
LGA61,LGA061,0,0,-61.31665,-6.670882,-21.729832,-66.8,-13.6,-30.8,G,inferiortemporal,100,,0,,0,,0
LGA62,LGA062,0,0,-63.404469,-16.438042,-19.168539,-69.333333,-24,-27.333333,G,inferiortemporal,100,,0,,0,,0
LGA63,LGA063,0,0,-64.243843,-25.404745,-15.997288,-71,-33,-21,G,inferiortemporal,100,,0,,0,,0
LGA64,LGA064,0,0,-62.72617,-34.441837,-11.956855,-71,-43,-17,G,inferiortemporal,100,,0,,0,,0
,,0,0,-50.684556,46.651874,32.145879,-53,44,21,EG,rostralmiddlefrontal,100,,0,,0,,0
LBG66,LGA066,0,0,-51.588051,36.821147,34.986932,-55,36,26,EG,rostralmiddlefrontal,100,,0,,0,,0
LBG67,LGA067,0,0,-52.715634,28.003383,38.133652,-57,27,32,EG,rostralmiddlefrontal,100,,0,,0,,0
LBG68,LGA068,0,0,-51.209757,49.626352,25.587864,-54.4,46.8,12.8,EG,rostralmiddlefrontal,100,,0,,0,,0
LBG69,LGA069,0,0,-52.478688,46.207388,27.894489,-56,44,15,EG,rostralmiddlefrontal,100,,0,,0,,0
LBG70,LGA070,0,0,-53.107894,41.546268,29.35846,-57,40,19,EG,rostralmiddlefrontal,100,,0,,0,,0
LBG71,LGA071,0,0,-53.495962,36.385478,30.496358,-58,36,21,EG,rostralmiddlefrontal,100,,0,,0,,0
LBG72,LGA072,0,0,-54.041479,31.467503,31.824762,-60,31,24,EG,rostralmiddlefrontal,100,,0,,0,,0
LBG73,LGA073,0,0,-54.980375,27.260985,33.659798,-60,26,27,EG,parsopercularis,100,,0,,0,,0
LBG74,LGA074,0,0,-54.366908,45.515029,23.18818,-58,42.666667,11.333333,EG,parstriangularis,100,,0,,0,,0
LBG75,LGA075,0,0,-55.643571,35.616336,25.839708,-61,34,15,EG,parstriangularis,100,,0,,0,,0
LBG76,LGA076,0,0,-56.977948,26.457326,29.112594,-63.333333,24,21.333333,EG,parsopercularis,100,,0,,0,,0
LBG77,LGA077,0,0,-54.72324,48.764167,16.34581,-57.6,44.8,2.8,EG,parstriangularis,100,,0,,0,,0
LBG78,LGA078,0,0,-56.112811,44.530532,18.216527,-60,41,5,EG,parstriangularis,100,,0,,0,,0
LBG79,LGA079,0,0,-56.936683,39.611066,19.716835,-61.333333,37.333333,7,EG,parstriangularis,100,,0,,0,,0
LBG80,LGA080,0,0,-57.447859,34.495669,21.110141,-63,32,11,EG,parstriangularis,100,,0,,0,,0
LBG81,LGA081,0,0,-57.899341,29.674238,22.659851,-64,27,13,EG,parsopercularis,100,,0,,0,,0
LBG82,LGA082,0,0,-58.498833,25.409668,24.523668,-66,23,15,EG,parsopercularis,100,,0,,0,,0
LBG83,LGA083,0,0,-59.272848,21.056828,26.436484,-66,19,19,EG,parsopercularis,100,,0,,0,,0
LBG84,LGA084,0,0,-60.172586,16.026223,28.121782,-66,15,21,EG,parsopercularis,100,,0,,0,,0
LBG85,LGA085,0,0,-61.029193,10.858909,29.680231,-68,9,23,EG,precentral,100,,0,,0,,0
LBG86,LGA086,0,0,-57.479989,43.209629,13.169102,-61,40,0,EG,parstriangularis,100,,0,,0,,0
LBG87,LGA087,0,0,-58.325807,33.005426,16.400814,-64,30,5,EG,parstriangularis,100,,0,,0,,0
LBG88,LGA088,0,0,-59.333512,23.935273,19.924647,-66,20,10,EG,parsopercularis,100,,0,,0,,0
LBG89,LGA089,0,0,-61.242484,14.485837,23.463454,-67.333333,12,14.666667,EG,parsopercularis,100,,0,,0,,0
LBG90,LGA090,0,0,-63.018509,4.647036,26.517,-69.2,0.8,20.4,EG,postcentral,100,,0,,0,,0
LBG91,LGA091,0,0,-63.149852,-4.893275,29.567432,-71.2,-7.2,25.6,EG,postcentral,100,,0,,0,,0
LBG92,LGA092,0,0,-56.32178,45.693954,6.608914,-58.8,41.2,-8.4,EG,parstriangularis,100,,0,,0,,0
LBG93,LGA093,0,0,-58.069318,41.455878,8.249686,-62,37,-5,EG,parstriangularis,100,,0,,0,,0
LBG94,LGA094,0,0,-58.247649,36.422375,9.995331,-62,32.666667,-2.666667,EG,parstriangularis,100,,0,,0,,0
LBG95,LGA095,0,0,-57.899352,31.161772,11.792311,-63,27,-1,EG,parstriangularis,66.53,parsopercularis,33.47,,0,,0
LBG96,LGA096,0,0,-58.067006,26.242402,13.587085,-64,23,3,EG,parsopercularis,100,,0,,0,,0
LBG97,LGA097,0,0,-59.408221,21.983806,15.329376,-64.8,17.2,5.6,EG,parsopercularis,100,,0,,0,,0
LBG98,LGA098,0,0,-61.040739,17.71038,16.98196,-66.8,13.2,7.6,EG,parsopercularis,100,,0,,0,,0
LBG99,LGA099,0,0,-62.026416,12.788742,18.52417,-70,9,10,EG,parsopercularis,100,,0,,0,,0
LBG100,LGA100,0,0,-62.743425,7.749557,19.988506,-70,3,11,EG,precentral,100,,0,,0,,0
LBG101,LGA101,0,0,-63.651421,3.167146,21.433631,-70,-1,15,EG,postcentral,100,,0,,0,,0
LBG102,LGA102,0,0,-64.219656,-1.373561,22.969676,-72,-5.333333,17.333333,EG,postcentral,100,,0,,0,,0
LBG103,LGA103,0,0,-63.907082,-6.357464,24.678429,-71,-11,20,EG,postcentral,100,,0,,0,,0
LBG104,LGA104,0,0,-63.12183,-11.559379,26.47683,-71,-15,23,EG,postcentral,100,,0,,0,,0
LBG105,LGA105,0,0,-62.509327,-16.576601,28.240607,-71,-20,25,EG,postcentral,42.02,supramarginal,57.98,,0,,0
LBG106,LGA106,0,0,-56.830802,38.964132,3.718889,-60,33,-10,EG,parsorbitalis,100,,0,,0,,0
LBG107,LGA107,0,0,-56.610258,29.117745,7.314911,-62,24,-5,EG,parsorbitalis,100,,0,,0,,0
LBG108,LGA108,0,0,-59.19222,20.034534,10.680567,-65,16,1,EG,parsopercularis,100,,0,,0,,0
LBG109,LGA109,0,0,-62.501462,11.072952,13.50079,-69.333333,7.333333,5,EG,parsopercularis,100,,0,,0,,0
LBG110,LGA110,0,0,-63.906645,1.653176,16.409752,-70,-3,9,EG,postcentral,56.77,precentral,43.23,,0,,0
LBG111,LGA111,0,0,-64.118409,-7.883775,19.908527,-72,-12,15,EG,postcentral,100,,0,,0,,0
LBG112,LGA112,0,0,-62.868121,7.949677,3.815766,-68,2.666667,-5.333333,EG,mSTG,100,,0,,0,,0
LBG113,LGA113,0,0,-64.759597,-1.596729,7.106113,-72,-6,0,EG,mSTG,100,,0,,0,,0
LBG114,LGA114,0,0,-64.801122,-11.507723,10.41746,-72.857143,-17.142857,5.142857,EG,mSTG,100,,0,,0,,0
LBG115,LGA115,0,0,-63.616136,-21.549724,13.592649,-71.142857,-26.857143,9.142857,EG,cSTG,100,,0,,0,,0
LBG116,LGA116,0,0,-61.553892,10.981323,-2.234474,-66.4,5.2,-12.8,EG,rMTG,100,,0,,0,,0
LBG117,LGA117,0,0,-63.33937,6.46723,-0.922872,-68,1,-10,EG,rMTG,100,,0,,0,,0
LBG118,LGA118,0,0,-64.689436,1.732696,0.520942,-69,-4,-8,EG,rMTG,100,,0,,0,,0
LBG119,LGA119,0,0,-65.607606,-3.191116,2.018042,-72,-8.666667,-5.333333,EG,mMTG,100,,0,,0,,0
LBG120,LGA120,0,0,-65.896408,-8.226079,3.612714,-72,-13.333333,-2.666667,EG,mSTG,100,,0,,0,,0
LBG121,LGA121,0,0,-65.439762,-13.279729,5.351335,-73,-19,0,EG,mSTG,100,,0,,0,,0
LBG122,LGA122,0,0,-64.648146,-18.249215,7.165439,-72,-25,2,EG,cSTG,100,,0,,0,,0
LBG123,LGA123,0,0,-64.063676,-23.029086,8.957854,-73,-29.5,3.5,EG,cSTG,100,,0,,0,,0
LBG124,LGA124,0,0,-63.719741,4.878782,-5.689006,-68.666667,-1,-15.333333,EG,rMTG,100,,0,,0,,0
LBG125,LGA125,0,0,-66.340452,-4.75599,-3.214427,-73,-10,-11,EG,mMTG,100,,0,,0,,0
LBG126,LGA126,0,0,-66.113634,-14.928578,0.269375,-74,-20,-5,EG,mMTG,100,,0,,0,,0
LBG127,LGA127,0,0,-64.527801,-24.401261,4.467741,-72,-31,-1,EG,cMTG,66.39,mMTG,33.61,,0,,0
LBG128,LGA128,0,0,-63.585202,3.083846,-10.503288,-70,-2,-21,EG,rMTG,100,,0,,0,,0
