name,name_NYUcoor,brain_data,coordinates,T1_X,T1_Y,T1_Z,MNI_X,MNI_Y,MNI_Z,type,reg1,reg1_percent,reg2,reg2_percent,reg3,reg3_percent,reg4,reg4_percent
DLAI1,DLAI01,0,0,-30,8,7,-31,4,-2,D,Left-Putamen,44.44,Left-Pallidum,55.56,,0,,0
DLAI2,DLAI02,0,0,-34,10.666667,6,-37,6,-2,D,Left-Putamen,100,,0,,0,,0
DLAI3,DLAI03,0,0,-38,13.333333,5,-41,8,-4,D,Left-Cerebral-White-Matter,44.44,ctx-lh-insula,55.56,,0,,0
DLAI4,DLAI04,0,0,-42,16,4,-45,10,-5,D,Unknown,3.7,ctx-lh-insula,96.3,,0,,0
DLAL1,DLAL01,0,0,-23,-53,-1,-24.666667,-60.444444,1.555556,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLAL2,DLAL02,0,0,-25.818182,-49,-1.363636,-27.111111,-55.555556,0.444444,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLAL3,DLAL03,0,0,-28.636364,-45,-1.727273,-30.8,-52.8,-2,D,Left-Cerebral-White-Matter,66.67,WM-hypointensities,33.33,,0,,0
DLAL4,DLAL04,0,0,-31.454545,-41,-2.090909,-34.5,-49,-5.5,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLAL5,DLAL05,0,0,-34.272727,-37,-2.454545,-36,-44,-6,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLAL6,DLAL06,0,0,-37.090909,-33,-2.818182,-40.666667,-38.888889,-6.222222,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLAL7,DLAL07,0,0,-39.909091,-29,-3.181818,-44.666667,-35,-7.166667,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLAL8,DLAL08,0,0,-42.727273,-25,-3.545455,-49.555556,-31.333333,-7.555556,D,Left-Cerebral-White-Matter,66.67,ctx-lh-inferiortemporal,11.11,ctx-lh-middletemporal,22.22,,0
DLAL9,DLAL09,0,0,-45.545455,-21,-3.909091,-54,-27.6,-8.8,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLAL10,DLAL10,0,0,-48.363636,-17,-4.272727,-57.142857,-22.857143,-10.857143,D,Left-Cerebral-White-Matter,44.44,ctx-lh-inferiortemporal,55.56,,0,,0
DLAL11,DLAL11,0,0,-51.181818,-13,-4.636364,-59.6,-18.8,-10.8,D,Left-Cerebral-White-Matter,62.96,ctx-lh-middletemporal,37.04,,0,,0
DLAL12,DLAL12,0,0,-54,-9,-5,-61,-14,-11,D,Left-Cerebral-White-Matter,14.81,ctx-lh-middletemporal,85.19,,0,,0
DLAMT1,DLAMT01,0,0,-16,0,-10,-16.666667,-7,-19.333333,D,Unknown,40.74,Left-Hippocampus,55.56,Left-VentralDC,3.7,,0
DLAMT2,DLAMT02,0,0,-20.428571,2.142857,-10.714286,-22,-4,-20,D,Left-Hippocampus,92.59,Left-Amygdala,7.41,,0,,0
DLAMT3,DLAMT03,0,0,-24.857143,4.285714,-11.428571,-26,-2,-21,D,Left-Hippocampus,22.22,Left-Amygdala,77.78,,0,,0
DLAMT4,DLAMT04,0,0,-29.285714,6.428571,-12.142857,-30,1,-23,D,Left-Amygdala,100,,0,,0,,0
DLAMT5,DLAMT05,0,0,-33.714286,8.571429,-12.857143,-34,3,-23,D,Left-Cerebral-White-Matter,62.96,Left-Amygdala,37.04,,0,,0
DLAMT6,DLAMT06,0,0,-38.142857,10.714286,-13.571429,-41,7,-25,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLAMT7,DLAMT07,0,0,-42.571429,12.857143,-14.285714,-47.111111,8.888889,-26.222222,D,Left-Cerebral-White-Matter,81.48,ctx-lh-superiortemporal,18.52,,0,,0
DLAMT8,DLAMT08,0,0,-47,15,-15,-51,13,-27,D,Unknown,29.63,ctx-lh-middletemporal,29.63,ctx-lh-superiortemporal,40.74,,0
DLPI1,DLPI01,0,0,-33,-8,8,-36.8,-11.2,0.8,D,Left-Cerebral-White-Matter,18.52,Left-Putamen,77.78,ctx-lh-insula,3.7,,0
DLPI2,DLPI02,0,0,-38,-8.666667,9,-42,-13,3,D,Unknown,18.52,ctx-lh-insula,81.48,,0,,0
DLPI3,DLPI03,0,0,-43,-9.333333,10,-47.2,-13.2,4.4,D,Unknown,25.93,Left-Cerebral-White-Matter,3.7,ctx-lh-transversetemporal,70.37,,0
DLPI4,DLPI04,0,0,-48,-10,11,-53,-14,6,D,Left-Cerebral-White-Matter,92.59,ctx-lh-superiortemporal,7.41,,0,,0
DLPL1,DLPL01,0,0,-20,-62,1,-22,-69.5,4.5,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLPL2,DLPL02,0,0,-23.181818,-58.272727,0.727273,-26.25,-66.75,1.5,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLPL3,DLPL03,0,0,-26.363636,-54.545455,0.454545,-29,-63,2.666667,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLPL4,DLPL04,0,0,-29.545455,-50.818182,0.181818,-32,-58.571429,3.142857,D,Left-Cerebral-White-Matter,88.89,WM-hypointensities,11.11,,0,,0
DLPL5,DLPL05,0,0,-32.727273,-47.090909,-0.090909,-36.666667,-56.533333,0.933333,D,Left-Cerebral-White-Matter,96.3,WM-hypointensities,3.7,,0,,0
DLPL6,DLPL06,0,0,-35.909091,-43.363636,-0.363636,-41.5,-52.5,-1.25,D,Left-Cerebral-White-Matter,92.59,WM-hypointensities,7.41,,0,,0
DLPL7,DLPL07,0,0,-39.090909,-39.636364,-0.636364,-47.6,-48.8,-2.8,D,Left-Cerebral-White-Matter,85.19,ctx-lh-inferiortemporal,11.11,ctx-lh-middletemporal,3.7,,0
DLPL8,DLPL08,0,0,-42.272727,-35.909091,-0.909091,-51.5,-45,-4,D,Left-Cerebral-White-Matter,29.63,ctx-lh-inferiortemporal,51.85,ctx-lh-middletemporal,18.52,,0
DLPL9,DLPL09,0,0,-45.454545,-32.181818,-1.181818,-56,-40.4,-4.8,D,Left-Cerebral-White-Matter,18.52,ctx-lh-inferiortemporal,81.48,,0,,0
DLPL10,DLPL10,0,0,-48.636364,-28.454545,-1.454545,-58.666667,-35.333333,-4.666667,D,Unknown,37.04,ctx-lh-inferiortemporal,62.96,,0,,0
DLPL11,DLPL11,0,0,-51.818182,-24.727273,-1.727273,-60.5,-31.5,-5.5,D,ctx-lh-middletemporal,100,,0,,0,,0
DLPL12,DLPL12,0,0,-55,-21,-2,-63,-27,-6,D,Left-Cerebral-White-Matter,100,,0,,0,,0
DLPMT1,DLPMT01,0,0,-21,-29,-5,-22.666667,-38,-8.666667,D,Unknown,7.41,Left-Cerebral-White-Matter,11.11,ctx-lh-parahippocampal,81.48,,0
DLPMT2,DLPMT02,0,0,-24.285714,-25.142857,-5.714286,-27,-35,-11,D,Unknown,3.7,Left-Cerebral-White-Matter,22.22,ctx-lh-parahippocampal,74.07,,0
DLPMT3,DLPMT03,0,0,-27.571429,-21.285714,-6.428571,-30,-31,-13,D,Left-Cerebral-White-Matter,37.04,Left-Hippocampus,62.96,,0,,0
DLPMT4,DLPMT04,0,0,-30.857143,-17.428571,-7.142857,-33.333333,-25,-14.666667,D,Left-Hippocampus,100,,0,,0,,0
DLPMT5,DLPMT05,0,0,-34.142857,-13.571429,-7.857143,-37,-20,-15,D,Left-Hippocampus,100,,0,,0,,0
DLPMT6,DLPMT06,0,0,-37.428571,-9.714286,-8.571429,-41.333333,-15.333333,-16,D,Left-Cerebral-White-Matter,44.44,Left-Inf-Lat-Vent,51.85,Left-Hippocampus,3.7,,0
DLPMT7,DLPMT07,0,0,-40.714286,-5.857143,-9.285714,-45.142857,-10.857143,-16.571429,D,Left-Cerebral-White-Matter,88.89,ctx-lh-middletemporal,11.11,,0,,0
DLPMT8,DLPMT08,0,0,-44,-2,-10,-51,-6,-17,D,ctx-lh-inferiortemporal,62.96,ctx-lh-middletemporal,37.04,,0,,0
DRAI1,DRAI01,0,0,23,14,5,29.333333,6,-3.333333,D,Right-Putamen,100,,0,,0,,0
DRAI2,DRAI02,0,0,28,14,5,36,5,-2,D,Right-Cerebral-White-Matter,70.37,Right-Putamen,11.11,ctx-rh-insula,18.52,,0
DRAI3,DRAI03,0,0,33,14,5,41.333333,5,-1.333333,D,ctx-rh-insula,100,,0,,0,,0
DRAI4,DRAI04,0,0,38,14,5,46,4.666667,-0.666667,D,Unknown,81.48,ctx-rh-precentral,18.52,,0,,0
