name,name_NYUcoor,brain_data,coordinates,T1_X,T1_Y,T1_Z,MNI_X,MNI_Y,MNI_Z,type,reg1,reg1_percent,reg2,reg2_percent,reg3,reg3_percent,reg4,reg4_percent
G1,G001,0,0,-37.71645,53.143017,28.154036,-48,52,21,G,rostralmiddlefrontal,100,,0,,0,,0
G2,G002,0,0,-40.963303,45.497288,32.088284,-49.5,43.5,27,G,rostralmiddlefrontal,100,,0,,0,,0
G3,G003,0,0,-42.820366,37.231869,36.158291,-50,37,33,G,rostralmiddlefrontal,100,,0,,0,,0
G4,G004,0,0,-44.528667,29.053467,40.405262,-51.333333,30,39.333333,G,rostralmiddlefrontal,100,,0,,0,,0
G5,G005,0,0,-43.689491,19.855488,44.055305,-49.333333,21,47,G,caudalmiddlefrontal,100,,0,,0,,0
G6,G006,0,0,-44.364826,10.029128,48.299969,-49.333333,14,52.666667,G,caudalmiddlefrontal,100,,0,,0,,0
G7,G007,0,0,-43.693626,0.504196,51.508183,-49.333333,5.333333,58,G,precentral,100,,0,,0,,0
G8,G008,0,0,-39.570374,-9.180947,53.904823,-44.4,-3.2,62.8,G,precentral,100,,0,,0,,0
G9,G009,0,0,-42.960121,50.896187,19.841839,-54,46,12,G,rostralmiddlefrontal,100,,0,,0,,0
G10,G010,0,0,-47.669525,43.891315,24.381083,-55,40,19,G,rostralmiddlefrontal,100,,0,,0,,0
G11,G011,0,0,-50.565666,35.002506,28.174076,-57.6,33.2,25.6,G,rostralmiddlefrontal,100,,0,,0,,0
G12,G012,0,0,-50.731903,25.698359,32.343029,-57,25.333333,33.333333,G,rostralmiddlefrontal,100,,0,,0,,0
G13,G013,0,0,-49.850395,15.933802,35.915813,-57,16,40,G,caudalmiddlefrontal,100,,0,,0,,0
G14,G014,0,0,-51.830009,7.566243,40.337536,-56.666667,9.333333,46,G,precentral,100,,0,,0,,0
G15,G015,0,0,-52.96841,-2.048716,44.216976,-57,0,51,G,precentral,100,,0,,0,,0
G16,G016,0,0,-50.100464,-11.514092,47.898838,-54.666667,-8,55.333333,G,precentral,100,,0,,0,,0
G17,G017,0,0,-48.580719,48.773582,10.748553,-58,41,3,G,parstriangularis,100,,0,,0,,0
G18,G018,0,0,-53.581108,40.996052,15.228349,-62.666667,34,11.333333,G,parstriangularis,100,,0,,0,,0
G19,G019,0,0,-54.548145,31.814798,19.902582,-63.333333,27.333333,18,G,parsopercularis,100,,0,,0,,0
G20,G020,0,0,-54.645512,22.279715,23.69075,-64,18.666667,25.333333,G,parsopercularis,100,,0,,0,,0
G21,G021,0,0,-57.408989,13.655391,28.099972,-64,10,31,G,precentral,100,,0,,0,,0
G22,G022,0,0,-59.402611,4.337322,32.678936,-63.2,3.2,37.6,G,precentral,100,,0,,0,,0
G23,G023,0,0,-60.029961,-5.468045,36.900738,-64,-6,41,G,postcentral,100,,0,,0,,0
G24,G024,0,0,-57.403088,-14.920634,39.877541,-62.666667,-14,48.666667,G,postcentral,100,,0,,0,,0
G25,G025,0,0,-51.028595,44.54287,1.87171,-61.333333,35,-5.333333,G,parstriangularis,100,,0,,0,,0
G26,G026,0,0,-52.924137,35.518761,5.96293,-64,26,1,G,parstriangularis,55.73,parsopercularis,44.27,,0,,0
G27,G027,0,0,-56.1437,27.258184,10.576921,-66,20.666667,9.333333,G,parsopercularis,100,,0,,0,,0
G28,G028,0,0,-56.736336,17.593264,15.093358,-65.333333,12.666667,17,G,precentral,100,,0,,0,,0
G29,G029,0,0,-62.05611,9.498841,19.65185,-68,4.666667,22.666667,G,precentral,100,,0,,0,,0
G30,G030,0,0,-64.69297,0.66811,24.579075,-68,-4,29,G,postcentral,100,,0,,0,,0
G31,G031,0,0,-64.912498,-8.673553,28.709621,-67,-11,34,G,postcentral,100,,0,,0,,0
G32,G032,0,0,-61.440357,-18.695538,32.224884,-66,-19,41,G,supramarginal,100,,0,,0,,0
G33,G033,0,0,-48.858261,38.460342,-7.284463,-57.5,27.5,-13.5,G,parstriangularis,100,,0,,0,,0
G34,G034,0,0,-51.495533,29.691267,-3.228947,-62,20,-7,G,rSTG,100,,0,,0,,0
G35,G035,0,0,-54.486782,21.489862,1.216145,-64,14,-1,G,precentral,100,,0,,0,,0
G36,G036,0,0,-60.977764,14.355223,6.238798,-69.333333,8,7.333333,G,precentral,100,,0,,0,,0
G37,G037,0,0,-65.37648,5.578237,10.485697,-70,-2,14,G,postcentral,100,,0,,0,,0
G38,G038,0,0,-67.760025,-3.764109,15.720462,-71,-9,20,G,postcentral,100,,0,,0,,0
G39,G039,0,0,-66.066734,-13.51637,19.47978,-70,-17,26,G,supramarginal,100,,0,,0,,0
G40,G040,0,0,-66.423416,-22.96372,24.221767,-69.333333,-24.666667,33.333333,G,supramarginal,100,,0,,0,,0
G41,G041,0,0,-50.068169,34.430611,-16.515606,-57,22,-22,G,rSTG,100,,0,,0,,0
G42,G042,0,0,-53.171547,25.744417,-11.728409,-62,14.666667,-15.333333,G,rSTG,100,,0,,0,,0
G43,G043,0,0,-59.776054,18.429295,-7.362871,-66,7,-10,G,rMTG,100,,0,,0,,0
G44,G044,0,0,-67.147964,10.457075,-2.614086,-70,-0.8,-2.4,G,rMTG,100,,0,,0,,0
G45,G045,0,0,-69.418762,1.058773,2.098337,-73.5,-7.5,5,G,mMTG,100,,0,,0,,0
G46,G046,0,0,-67.656174,-8.486749,6.889192,-72,-16,12,G,postcentral,100,,0,,0,,0
G47,G047,0,0,-68.155609,-17.563032,11.565187,-71.2,-23.6,19.2,G,supramarginal,100,,0,,0,,0
G48,G048,0,0,-68.218994,-26.618547,16.096312,-70,-31,27,G,supramarginal,100,,0,,0,,0
G49,G049,0,0,-52.618389,30.327087,-25.948698,-58,16,-31,G,rMTG,100,,0,,0,,0
G50,G050,0,0,-55.675621,21.949551,-20.629984,-62,9,-24,G,rMTG,100,,0,,0,,0
G51,G051,0,0,-62.779022,14.548309,-16.48778,-67,1,-18,G,rMTG,100,,0,,0,,0
G52,G052,0,0,-69.134872,6.22729,-11.558508,-71,-7,-10.666667,G,rMTG,100,,0,,0,,0
G53,G053,0,0,-72.126938,-2.921136,-7.128896,-72,-14,-5,G,mMTG,100,,0,,0,,0
G54,G054,0,0,-71.428566,-12.339426,-2.0246,-71,-23.5,3.5,G,mMTG,100,,0,,0,,0
G55,G055,0,0,-72.230049,-21.04546,2.609015,-72,-30,9,G,bankssts,100,,0,,0,,0
G56,G056,0,0,-69.568481,-30.767811,7.011392,-70,-37.333333,17.333333,G,bankssts,100,,0,,0,,0
G57,G057,0,0,-50.45261,24.653315,-34.150391,-56,8.666667,-39.333333,G,inferiortemporal,100,,0,,0,,0
G58,G058,0,0,-57.632015,17.187325,-30.189722,-60.8,1.6,-32.8,G,inferiortemporal,100,,0,,0,,0
G62,G062,0,0,-73.722404,-16.398237,-9.902417,-72,-28,-4,G,mMTG,100,,0,,0,,0
G63,G063,0,0,-73.721329,-25.640827,-5.004501,-71.333333,-36,2.666667,G,bankssts,75.56,cMTG,24.44,,0,,0
G64,G064,0,0,-71.99041,-34.489861,-0.376694,-69,-43,9.5,G,cMTG,100,,0,,0,,0
G65,G065,0,0,-39.697773,49.164398,29.882381,-50,47.333333,22.666667,EG,rostralmiddlefrontal,100,,0,,0,,0
G66,G066,0,0,-43.069736,41.785332,35.083328,-51.2,40.4,31.2,EG,rostralmiddlefrontal,100,,0,,0,,0
G67,G067,0,0,-43.814789,31.899403,38.194977,-50,31,37,EG,rostralmiddlefrontal,100,,0,,0,,0
G68,G068,0,0,-40.752819,51.635445,24.428213,-51.333333,48,17.333333,EG,rostralmiddlefrontal,100,,0,,0,,0
G69,G069,0,0,-42.879696,49.49218,27.40493,-52,46.666667,20.666667,EG,rostralmiddlefrontal,100,,0,,0,,0
G70,G070,0,0,-42.74614,44.967793,27.858608,-50.666667,42,22.666667,EG,rostralmiddlefrontal,100,,0,,0,,0
G71,G071,0,0,-46.290699,41.491703,30.227364,-53.333333,38.666667,26,EG,rostralmiddlefrontal,100,,0,,0,,0
G72,G072,0,0,-46.996803,36.068172,31.406275,-53,35,28,EG,rostralmiddlefrontal,100,,0,,0,,0
G73,G073,0,0,-46.270134,31.225468,34.174862,-53.333333,30.666667,33.333333,EG,rostralmiddlefrontal,100,,0,,0,,0
G74,G074,0,0,-45.190063,46.580746,22.907965,-54.666667,42,16.666667,EG,rostralmiddlefrontal,100,,0,,0,,0
G75,G075,0,0,-50.611557,39.706039,25.984026,-57,36,22,EG,rostralmiddlefrontal,100,,0,,0,,0
G76,G076,0,0,-51.048447,30.025042,29.581173,-59,29,29,EG,rostralmiddlefrontal,100,,0,,0,,0
G77,G077,0,0,-45.924877,49.356842,15.165013,-56,43,8,EG,parstriangularis,100,,0,,0,,0
G78,G078,0,0,-49.469658,46.851761,17.246916,-58.8,40.8,11.6,EG,parstriangularis,100,,0,,0,,0
G79,G079,0,0,-50.123478,43.458252,17.673409,-59.5,38,11.5,EG,parstriangularis,100,,0,,0,,0
G80,G080,0,0,-49.849442,38.055847,23.208052,-57.333333,35.333333,20,EG,rostralmiddlefrontal,100,,0,,0,,0
G81,G081,0,0,-52.487625,33.062443,22.246992,-62,29.333333,20.666667,EG,parsopercularis,100,,0,,0,,0
G82,G082,0,0,-51.925064,29.457357,26.976295,-61.333333,27.333333,26,EG,rostralmiddlefrontal,100,,0,,0,,0
G83,G083,0,0,-53.361553,23.494934,27.502707,-62,21,29,EG,parsopercularis,100,,0,,0,,0
G84,G084,0,0,-52.752365,19.35047,29.460657,-60.8,17.2,32.4,EG,parsopercularis,100,,0,,0,,0
G85,G085,0,0,-54.155197,15.162372,31.942608,-61.333333,12.666667,35,EG,precentral,100,,0,,0,,0
G86,G086,0,0,-52.825687,46.692863,13.355145,-61.142857,38.857143,6.857143,EG,parstriangularis,100,,0,,0,,0
G87,G087,0,0,-53.595562,35.812321,17.408606,-62,30,14,EG,parstriangularis,20.07,parsopercularis,79.93,,0,,0
G88,G088,0,0,-54.549984,26.602425,21.812929,-64,22,21,EG,parsopercularis,100,,0,,0,,0
